6termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
5toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
3tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
3tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
4tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
1vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
1vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
2vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
1wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
6wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
1wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
7worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
2wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
